模型版号,通用指标,,,,,,,,,,,,,,,,,,,,,,,,,,,
,通用能力,,,,,,,,,,,对话交互,,,,,,,,对话分析,,知识&能力,,平均,,,,
,输出安全性,多语言能力,逻辑推理,,专业领域,,,,,指令遵循,,语义匹配,代词消歧,摘要信息(小结),文本分类,,未登记知识,工具调用能力,,情感分析,营销意向分析,知识遵循+Doc2FAQ,知识遵循,通用能力,对话交互,对话分析,知识&能力,总体
,COLDataset,xcopa,babi_qa,CHARM,CMB (Chinese Medical Benchmark),CFBenchmark (Chinese Finance Benchmark),Gaokao Bench（客观题）,Gaokao Bench（主观题）,CMMLU,IFeval,MTbench101,afqmc,cluewsc,cluecsl,iflytek,tnews_public,safetybench_zh,agent_instruct,Toolbench,waimai_10k,ocemotion,cmrc2018,DRCD_test,,,,,
Qwen3-1.7B,57.75,57.15,44.04,26.14,45.36,87.33,39.98,91.36,61.16,49.91,91.87,70.53,72.37,52.2,8.7,21.76,74.29,75.31,29.94,88.06,48.74,96.61,92.04,59.277272727272724,50.6375,68.4,94.325,60.11304347826086
Bowen_General_v2.2_1.5B_20240923,74.66,50.76,41.49,36.81,36.43,82.44,42.9,78.25,47.72,33.27,90.35,56.9,81.58,49.77,7.27,29.93,77.14,65.15,25.61,89.9,43.21,97.21,91.27,55.91636363636364,49.16875,66.555,94.24,57.82695652173913
Bowen_General_v3.0_1.7B_20250526,59.59,57.95,31.14,31.81,41.79,83.11,27.51,85.92,58.96,40.67,89.12,65.13,85.86,50.8,10.89,33.12,77.14,58.24,10.92,89.4,46.69,98,86.03,55.23363636363636,49.0125,68.045,92.015,57.382173913043474
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen3-14B,61.34,78.03,67.92,77.53,65.71,87.89,83.04,95.34,81.1,57.3,95.98,64.6,89.14,50.1,49.06,50.69,91.43,87.56,60.56,91.15,52.7,99.5,98.45,77.38000000000001,67.89250000000001,71.92500000000001,98.975,75.48347826086957
Bowen_General_v3.0_14B_20250718,62.9,74.59,74.23,75.81,64.64,87.22,82.26,93.98,80.03,55.27,94.42,63.35,93.09,50.17,43.06,51.1,91.43,84.36,56.05,91.1,51.71,99.6,98,76.85,66.57625,71.405,98.8,74.71173913043476
Bowen_General_v3.1_14B_20250905,61.41,77.79,71.55,78.04,63.21,86.56,79.11,91.65,77.73,53.23,94.8,65.78,93.75,50.37,38.86,52.53,91.43,85.69,55.14,91.3,50.17,99.4,96.16,75.91636363636363,66.69375,70.735,97.78,74.15913043478261
Bowen_General_v2.2_14B_20240923,63.31,70.23,74.04,77.69,57.86,89,81.3,92.23,75.92,51.57,95.03,66.71,91.45,51.1,26.82,47.63,91.43,81.41,55.91,91.35,51.67,99.8,98.71,75.28909090909092,64.05749999999999,71.50999999999999,99.255,73.13782608695654
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
